M2,f0,h,w0,wa,wb,R,S2,min_wp1,max_dev,calibration_segment
3.0,0.0001,0.6728006601333619,-0.9999482358512645,-6.751435562316991e-05,-2.2153336662606923e-06,-1.3042686351919968,-0.04279667917614132,1.327824517005638e-08,4.6752060805177464e-05,True
3.0,0.0005,0.6727616071701051,-0.9997413344657187,-0.0003374097207003865,-1.1049830283851524e-05,-1.3044247338085995,-0.04271860305839349,6.63280932400312e-08,0.00023364589798058333,True
3.0,0.001,0.6727115392684938,-0.9994830573717662,-0.0006744141035975195,-2.2032416165391606e-05,-1.30462079689924,-0.04262062163584714,1.3249798336278928e-07,0.00046700554161160923,True
3.0,0.002,0.6726134061813356,-0.9989676621651656,-0.0013472111668009915,-4.379785544338891e-05,-1.3050099699360045,-0.042425893893946284,2.643673661095747e-07,0.0009328698635618915,True
3.0,0.005,0.6723190069198608,-0.997430693971812,-0.0033559497801674515,-0.00010751265312468774,-1.3061697374112737,-0.04184501649284386,6.56244254937377e-07,0.0023236562145407813,True
3.0,0.01,0.6718363523483276,-0.9948993502961944,-0.006672004253003932,-0.00020857061170807757,-1.3080694892703362,-0.040890989152315496,1.2972140355227424e-06,0.004619220454624928,True
3.0,0.015,0.67136070728302,-0.9924050833613814,-0.009948821370013874,-0.00030344001581392524,-1.3099316086533734,-0.039953040994682755,1.9234431257730833e-06,0.006887231967331542,True
3.0,0.02,0.6708940744400025,-0.9899470056063056,-0.013187067377988785,-0.00039238461711277187,-1.3117551708036488,-0.03903161602864195,2.535462665376187e-06,0.009128233575946387,True
3.0,0.125,0.6626328706741333,-0.9454109625301841,-0.0733177973452242,-0.0012421740878774525,-1.3430864646727658,-0.022755009896708502,1.2811098557219402e-05,0.050753225166987215,True
3.0,0.2076,0.6576751470565796,-0.9177171448749092,-0.11199383300572045,-0.0010706753323933653,-1.3610834582181357,-0.013012131515923545,1.851083097947903e-05,0.0776246362387828,True
3.0,1.628,0.6295780420303347,-0.7462377824745922,-0.3688058397245395,0.010629101947008009,-1.4533520526459498,0.04188606976506963,4.5428818793880055e-05,0.26148842069410405,False
3.0,1.7908,0.6284565210342409,-0.7388464996868667,-0.3804315987414745,0.011508786601630079,-1.4567355914637254,0.0440690497651021,4.634324885577357e-05,0.2701102203594581,False
7.0,0.0001,0.6727746248245241,-0.9998331571777472,-0.00016230359903337985,-3.220840008465784e-05,-0.972793416233936,-0.19304636333627967,7.824607739514988e-08,0.00014738424780125214,True
7.0,0.0005,0.6726304292678834,-0.9991668159535426,-0.0008114835044963418,-0.00016050123735405185,-0.9739546837780835,-0.19263599445583232,3.900256906330668e-07,0.0007357438812547468,True
7.0,0.001,0.6724491834640504,-0.9983362030207014,-0.0016228703320008552,-0.0003196552385059037,-0.9754016578903548,-0.1921239444975145,7.770539482976346e-07,0.0014685509577621048,True
7.0,0.002,0.6720916986465455,-0.9966826084503353,-0.0032452770863215376,-0.0006339834130760508,-0.9782616967989635,-0.19110900946863765,1.5422880418336504e-06,0.002925463483582469,True
7.0,0.005,0.6710352659225464,-0.9917818192049496,-0.008108311505371335,-0.0015459926342977746,-0.9866309476003169,-0.18811859617749954,3.7698213554149262e-06,0.007228711931092979,True
7.0,0.01,0.6693349599838256,-0.983806542956821,-0.016191824940582192,-0.0029684867531571493,-0.999899212219328,-0.18331396101782585,7.270767926947919e-06,0.014187408089955555,True
7.0,0.015,0.6677037477493287,-0.9760600149603887,-0.024236674312133263,-0.004278484890606731,-1.0123930433553365,-0.1787171079483768,1.0532250545036703e-05,0.02089940018304437,True
7.0,0.02,0.6661356210708619,-0.9685294389309557,-0.03223177023593211,-0.0054856821824017885,-1.0241879757153909,-0.17431154692051928,1.3579330571111825e-05,0.027384935835463642,True
7.0,0.0389,0.6607152700424195,-0.9418220345766665,-0.0618699387692425,-0.009259946517461662,-1.063459994158342,-0.1591658706192527,2.350420115215801e-05,0.050139037261255015,True
7.0,0.125,0.6427228689193727,-0.8456594503960397,-0.1820045635377089,-0.016953104644928538,-1.1792400895599688,-0.1098421943451051,5.072870199329671e-05,0.13123614915832138,False
7.0,0.228,0.628992247581482,-0.7642374691447072,-0.2959498071175964,-0.01724012061882805,-1.2552877085428202,-0.07312493870966187,6.689619179545137e-05,0.20298159241805336,False
7.0,0.2508,0.6266160249710084,-0.7494058209933782,-0.3176405332622366,-0.016750766492351767,-1.2675495277719244,-0.06684419629679082,6.937176385146682e-05,0.21673981438593437,False
8.0,0.0001,0.6727636098861696,-0.9997927328620277,-0.00017769495505536278,-4.9568773337104115e-05,-0.8573233402737901,-0.2391540396709645,1.1399120147803643e-07,0.00019231201764624561,True
8.0,0.0005,0.6725773572921753,-0.9989652167574273,-0.0008890230933962625,-0.00024686509461263525,-0.8591394379232332,-0.2385669621000836,5.676203486126852e-07,0.0009594417365984542,True
8.0,0.001,0.6723440408706666,-0.9979343033688628,-0.0017793840135913723,-0.0004912964498602595,-0.8613965801027563,-0.23783572207783088,1.1294467020528387e-06,0.001913610460920534,True
8.0,0.002,0.67188241481781,-0.9958839531332739,-0.003563878429649945,-0.0009729823283815589,-0.865849817809456,-0.23638757280610767,2.23610805416552e-06,0.0038065045209678683,True
8.0,0.005,0.6705285787582397,-0.9898225691852414,-0.008943554565961093,-0.002362662207919629,-0.8787634844927408,-0.23214721386201445,5.426534575025954e-06,0.00936571973491207,True
8.0,0.01,0.6683666467666627,-0.9800056958803668,-0.017973421717958564,-0.004506763287912939,-0.8989270949574953,-0.22540235763882208,1.0350390836633139e-05,0.01826084273595685,True
8.0,0.015,0.6663128614425661,-0.9705233159715911,-0.027047220597827465,-0.006456129009118284,-0.917580165114911,-0.21902494198112768,1.4842177263219014e-05,0.02673724536646227,True
8.0,0.02,0.6643592119216918,-0.9613521790518461,-0.03613190493117134,-0.008231246319805914,-0.9349014781361761,-0.21298086458349472,1.8959682684838164e-05,0.03483925936147103,True
8.0,0.0274,0.6616295099258422,-0.9483070345374426,-0.04954371714461808,-0.01057534401147857,-0.9584228086218793,-0.20457994461816226,2.446535374112102e-05,0.04621999940859112,True
8.0,0.125,0.6367657899856568,-0.8165708733900229,-0.20957944070090548,-0.023875051987372047,-1.1425635861339045,-0.13015954678853836,6.404763390632784e-05,0.15669751635586127,False
8.0,0.174,0.6286587953567505,-0.7684611484673927,-0.2762456417790546,-0.024696896801972457,-1.1930854798256234,-0.10666415868653656,7.375677688203908e-05,0.19732314474174995,False
8.0,0.19140000000000001,0.6261884450912476,-0.7532777333826693,-0.29797197994129143,-0.024567102442531127,-1.2077222863854835,-0.0995739167743421,7.647203337912689e-05,0.21040714870091526,False
